read_start,read_end
5246683,5246783
5246692,5246792
5246707,5246807
5246707,5246807
5246717,5246817
5246721,5246821
5246721,5246821
5246721,5246821
5246727,5246827
5246728,5246828
5246728,5246828
5246740,5246840
5246743,5246843
5246743,5246843
5246744,5246844
5246751,5246851
5246752,5246852
5246757,5246857
5246758,5246858
5246763,5246863
5246765,5246865
5246768,5246868
5246770,5246870
5246774,5246874
5246778,5246878
5246782,5246882
5246784,5246884
5246785,5246885
5246792,5246892
5246794,5246894
5246799,5246899
5246800,5246900
5246803,5246903
5246805,5246905
5246807,5246907
5246812,5246912
5246814,5246914
5246815,5246915
5246819,5246919
5246819,5246919
5246819,5246919
5246823,5246923
5246824,5246924
5246825,5246925
5246828,5246928
5246829,5246929
5246832,5246932
5246834,5246934
5246841,5246941
5246842,5246942
5246844,5246944
5246845,5246945
5246847,5246947
5246847,5246947
5246852,5246952
5246853,5246953
5246855,5246955
5246855,5246955
5246857,5246957
5246862,5246935
5246864,5246964
5246865,5246965
5246866,5246966
5246866,5246966
5246868,5246968
5246869,5246969
5246870,5246970
5246871,5246971
5246872,5246972
5246872,5246972
5246872,5246972
5246873,5246973
5246874,5246974
5246878,5246978
5246885,5246985
5246886,5246986
5246887,5246987
5246888,5246988
5246889,5246989
5246891,5246991
5246891,5246991
5246893,5246993
5246894,5246994
5246896,5246996
5246898,5246998
5246899,5246999
5246904,5247004
5246907,5247007
5246910,5247010
5246916,5247016
5246917,5247017
5246918,5247018
5246923,5247023
5246924,5247024
5246925,5247025
5246937,5247037
5246939,5247039
5246941,5247041
5246946,5247046
5246954,5247054
5246965,5247065
5246966,5247012
5246969,5247069
5246972,5247072
5246975,5247075
5246984,5247084
5246984,5247084
5246991,5247091
5247027,5247127
5247029,5247129
5247034,5247134
5247114,5247214
5247616,5247716
5247620,5247720
5247624,5247724
5247628,5247728
5247629,5247729
5247648,5247748
5247666,5247760
5247673,5247773
5247676,5247776
5247684,5247784
5247689,5247789
5247691,5247791
5247698,5247798
5247705,5247805
5247705,5247805
5247723,5247823
5247723,5247823
5247725,5247821
5247730,5247830
5247732,5247832
5247732,5247832
5247733,5247830
5247734,5247834
5247734,5247834
5247742,5247842
5247743,5247843
5247744,5247844
5247746,5247843
5247748,5247848
5247749,5247846
5247751,5247851
5247752,5247850
5247756,5247856
5247762,5247862
5247762,5247862
5247763,5247863
5247763,5247863
5247763,5247863
5247768,5247868
5247768,5247868
5247768,5247868
5247771,5247871
5247771,5247871
5247773,5247873
5247773,5247866
5247773,5247873
5247773,5247873
5247773,5247873
5247776,5247876
5247779,5247879
5247779,5247868
5247779,5247879
5247781,5247881
5247781,5247881
5247782,5247882
5247783,5247883
5247786,5247852
5247786,5247886
5247786,5247886
5247787,5247887
5247787,5247887
5247788,5247888
5247788,5247888
5247792,5247892
5247793,5247893
5247794,5247894
5247795,5247895
5247796,5247896
5247796,5247896
5247796,5247880
5247797,5247897
5247798,5247898
5247798,5247898
5247799,5247899
5247802,5247902
5247803,5247903
5247804,5247904
5247805,5247905
5247806,5247906
5247806,5247869
5247807,5247907
5247807,5247907
5247807,5247907
5247808,5247908
5247808,5247908
5247808,5247908
5247809,5247909
5247812,5247912
5247812,5247912
5247812,5247912
5247812,5247912
5247813,5247913
5247813,5247913
5247814,5247914
5247815,5247915
5247817,5247917
5247819,5247919
5247823,5247921
5247824,5247924
5247824,5247924
5247824,5247924
5247825,5247925
5247825,5247925
5247827,5247927
5247828,5247928
5247829,5247929
5247829,5247929
5247830,5247930
5247832,5247932
5247833,5247933
5247834,5247934
5247835,5247935
5247836,5247936
5247837,5247937
5247838,5247938
5247842,5247942
5247843,5247943
5247844,5247944
5247845,5247945
5247846,5247946
5247846,5247939
5247847,5247947
5247847,5247947
5247848,5247948
5247848,5247948
5247848,5247948
5247849,5247949
5247850,5247950
5247851,5247951
5247853,5247953
5247854,5247954
5247856,5247956
5247857,5247957
5247861,5247961
5247864,5247964
5247865,5247964
5247865,5247965
5247865,5247965
5247865,5247965
5247869,5247969
5247871,5247969
5247871,5247971
5247871,5247971
5247872,5247972
5247874,5247963
5247875,5247975
5247880,5247980
5247880,5247980
5247881,5247981
5247883,5247983
5247885,5247985
5247887,5247987
5247888,5247988
5247889,5247989
5247890,5247990
5247891,5247991
5247891,5247960
5247891,5247991
5247893,5247993
5247893,5247993
5247893,5247993
5247894,5247994
5247896,5247996
5247898,5247998
5247898,5247998
5247899,5247999
5247900,5248000
5247902,5248002
5247903,5248003
5247903,5247988
5247903,5248003
5247903,5248003
5247903,5248003
5247903,5248003
5247904,5248004
5247904,5248004
5247905,5248000
5247905,5247991
5247907,5248007
5247909,5248009
5247913,5248013
5247913,5248008
5247913,5248013
5247914,5248014
5247914,5248014
5247914,5248014
5247915,5248015
5247915,5248015
5247915,5248015
5247916,5248014
5247916,5248016
5247917,5248017
5247919,5248019
5247920,5248020
5247921,5248021
5247922,5248022
5247924,5248003
5247925,5248025
5247926,5248026
5247927,5248027
5247928,5248028
5247928,5248028
5247928,5248028
5247929,5248029
5247930,5248030
5247931,5248031
5247932,5248032
5247934,5248034
5247934,5248034
5247934,5248034
5247935,5248035
